序号	市场	门店名称	业绩分类	分类			运营模式分类
1	来菜武汉	创意城店	A	商超	游客商圈	游客/大学生	新模式测试
2	来菜武汉	常青店	C	街边	社区商圈	社区	老模式
3	来菜武汉	光谷天地店	B	商超	社区商圈	社区/公务	老模式
4	来菜武汉	汉街店	A	商超	社区商圈	游客/公务	老模式
5	来菜武汉	M+店	A	商超	游客商圈	游客	老模式
6	来菜武汉	汉阳万科店	B	商超	社区商圈	社区/公务	老模式
7	来菜武汉	大悦城店	B	商超	社区商圈	游客/公务	老模式
8	来菜武汉	万象城店	C	商超	社区商圈	游客/社区	新模式测试
9	来菜武汉	世界城店	A	商超	公务商圈	游客/大学生/公务	老模式
10	来菜武汉	龙湖天街店	C	商超	社区商圈	社区	新模式测试
11	来菜武汉	梦时代店	A	商超	游客商圈	游客/大学生	老模式
12	来菜武汉	佰港城店	B	商超	社区商圈	社区	老模式
13	来菜武汉	洪山万科店	C	商超	社区商圈	社区	新模式测试
14	来菜武汉	经开永旺店	A	商超	社区商圈	社区/公务	老模式
15	来菜武汉	武商奥莱店	C	商超	社区商圈	社区	老模式
16	来菜武汉	泛悦汇店	B	商超	游客商圈	游客/医院/社区	老模式
17	来菜武汉	金桥永旺店	C	商超	社区商圈	社区	新模式测试
18	来菜武汉	宜家荟聚店	B	商超	社区商圈	社区	老模式
19	来菜武汉	江夏永旺店	B	商超	社区商圈	社区	老模式
20	来菜武汉	销品茂店	B	商超	社区商圈	社区	老模式
21	来菜武汉	方圆荟店	C	商超	社区商圈	社区	新模式测试
